id,lat_lng,latlng,geocode_data,city,country
2432,"{u'lat': 23.885942, u'lng': 45.079162}","23.885942,45.079162",,,
2433,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
2434,"{u'lat': 43.018746, u'lng': -87.9472679}","43.018746,-87.9472679",,,
2435,"{u'lat': 32.7515791, u'lng': -96.6295999}","32.7515791,-96.6295999",,,
2436,"{u'lat': 32.7515791, u'lng': -96.6295999}","32.7515791,-96.6295999",,,
2437,"{u'lat': 51.5073509, u'lng': -0.1277583}","51.5073509,-0.1277583",,,
2438,"{u'lat': 37.09024, u'lng': -95.712891}","37.09024,-95.712891",,,
2439,"{u'lat': 37.36883, u'lng': -122.0363496}","37.36883,-122.0363496",,,
2440,"{u'lat': 38.64126359999999, u'lng': -90.2613413}","38.6412636,-90.2613413",,,
2441,"{u'lat': 30.442344, u'lng': -97.769885}","30.442344,-97.769885",,,
2442,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2443,"{u'lat': 41.0954495, u'lng': -81.5887577}","41.0954495,-81.5887577",,,
2444,"{u'lat': 51.1755991, u'lng': 4.3345413}","51.1755991,4.3345413",,,
2445,"{u'lat': 29.74129, u'lng': -95.440033}","29.74129,-95.440033",,,
2446,"{u'lat': 48.379433, u'lng': 31.1655799}","48.379433,31.1655799",,,
2447,"{u'lat': 33.6978696, u'lng': -78.8804498}","33.6978696,-78.8804498",,,
